,TV Serial ID,TV Serial Name,Channel Name,Channel Head,Year,Genres,Cast,Productions,Creator Name,Duration,Language,Rating,Tweets,Duration (minutes)
0,101,Shrimad Ramayan,Sony Entertainment,N.P. Singh ,2024,"Drama, Family, Fantasy","Sujay Reu, Prachi Bansal, Basant Bhatt",Swastik Productions,Siddharth Kumar Tewary,20min,Hindi,9.6,"Ashish sharma and madirakshi was the best siya ram ?, ?????, Jai siyaram ??, Arun govil is the best????, Gurmeet chaudhri ko lao ???, Ramananda Sagar ki barabri toh nahi kar sako ge par agar apna dimag lagaye Bina joh jesa hai wesa hi dikhana,toh sayyed show chal jaye,women empowerment ke naam pe joh maan main aaye woh maat dikhana, aashiesh sharrma must play Lord Ram? give him the role ! Watch hin in Siya Ke Ram. He wont disappoint, Kitne Ramayan banaoge Bhai ..., Jay Shri Ram, It's for knowledge not for competition, Yaha beat kerna ka kuch nahi apni sanskriti ko ????? ?? hai, very nice?????????? jai shree ram, Ye Fake story dikhayenge, 22 jan 2024 1st episode, Give chance to shrikant Dwivedi as ram Kuldeep singh hitanshu jinsi also OK good but my favorite is Sourabh raj jain I don't know whether he will come or not, Make it like Star Plus Mahabharat if you want this project to be SUPER HIT., I wants to see Ashish Sharma as Sri Ram ???? no one can beat him, Have they given release date ???  When does the first episode air broadcast ?, KANAN MALHOTRA and GAGAN MALIK se zyada beutifull SHREE RAM ke roll mein modern jenaretion mein koi ho hi nahi sakta 100% JAY SHREE RAM ?????????????, Makers should present reality and not own imaginary incidents.whatever is shown should be there in granths",20
1,102,Taarak Mehta Ka Ooltah Chashmah,Sony SAB,N.P. Singh ,2008,"Comedy, Family","Dilip Joshi, Mandar Chandwadkar, Munmun Dutta",Neela Tele Films Private Limited,Asit Kumarr Modi,22min,Hindi,8.2,"Jetha business minded, Gogi is sooo cute yaar...., Jethalal acting expression is best from then till now, sodi was funny iyer was cartoon mehta sab optimistic babita also flirt jetha lal dr hati was bakwas doctor bhide was critics of gada family, again restart the old episode, 2023 Dec 3rd ( 6:40 PM ), Old memories ??, Episode 2 - Taarak Mehta Ka Ooltah Chashma l Full Episode l T. M. K. O., Asli Maza Tmkoc Show Ke Episodes Line Line Se Dekhne Main Aata Hay., How stupid knowledge the production is showing this stupid boy doesn't give any respect to elder what a M . C, 5:31 kisi ne notice kia kisi or ny ball dali????, Who is watching after 2023 ! ATTENDANCE : ????, Tapu wasn't mischievous in the first few episodes, he was a unmannered brat, Gogi is soo cute??????, 13:04 Yes ?????????????, 13:04?? kya bat hai yaha...nvm",22
2,103,Baalveer ,Sony SAB,N.P. Singh ,2023,Fantasy ,"Dev Joshi, Anushka Sen, Rudra Soni",Optimystix Entertainment,"Vipul D. Shah, Sanjiv Sharma",10min,Hindi,6.7,"I miss you vivaan, My favourite I season 1is very best ???, Vivian or timanasha ko vapasha lao, Where is Rani pari Baalveer,??????????, My favourite serial, ????, ????, Balveer Koi bhi mat dekho uska last ka sin nehihe, Balveer  sony  sab  par kab   aiga, Vivaan and all team great, We went Baalveer season 4 to 8Pm to kosamu to Reply, Vivaan kis ka favroite, Kuch maaza nahi aa raha hai, Mera fewret Bal beer riturn S2.  Thaa ye nahi hai ye achha nahi lagta, Usmein na tauba tauba natkhat pari koi nahin hai isliye se bandh kahan hai????????, I like it, Hi, Balveer returns is back wow, Toba Toba ka Bina accha nai lag rahai, Boring episodes????",10
3,104,Siya Ke Ram,Star Plus,Sameer Nair,2015,"Drama, Family, Fantasy, Romance","Madirakshi Mundle, Aashiesh Sharrma, J. Karthik",Triangle Film Company,Nikhil Sinha,20min,Hindi,8.1,"Jai Shree Ram ????, Thanksss a ton @starplus YT channels for uploading such beautiful shows episodes?????, but dont understand why its divided in 4-parts per episode? #StarPlus Yt channel could have upload simply like in Tv format- 21-24mins one single episode. That would have been convenient for audience??, also PLEASE DO UPLOAD OTHER SHOWS TOO IN ALL OTHER STR CHANNELS, including,old Channe #StarOne channel all shows?, miss them so so much??????.  Also,This is actually episode 2 and onwards, the very first episode of Sita Ke Ram was of 1hr long apprx long, its available in hotstar., Jai shree Ram mene ye so phele bhi dekh chuki hu or me fir se dekh rhi hu kya or bhoi koi dekh rha h meri Tera Jai shree Ram, How can you get English subtitles, Jai Siya Ram Ji???, Sab episode Aadhe hai, Do they have English subtitles. Would have been a blessing for people living in foreign lands., Very beautiful and dedicatedly made serial...casting is excellent.. each and every actor appears apt for there role...Sita and Ram are wonderful.. Really appreciate how beautifully janaks character was showed... This show has created a great impact on my kids too ..they loved it, Star channel walon ka casting baht achha hai,  satisfaction!!!, I like siya ka Ram  it is very nice   all acters good, jay siya ram, Jay shree ram ?, Why not subtitled to English ?? we need English subtitles, ???, Siya kae Ram is my favourite Ramayan serial so beautifully elegantly softly with grace every character has played their roles excellently ?, Jai Shree Ram??, No subtitles , can t watch , even on Hulu no subtitles . Not all Indians know Hindi!!!, ??? ???? ????? ?????????, Jai shree Ram ji and Sita mata ki??, Ram siya Ram",20
4,105,RadhaKrishn,Star Bharat,The Walt Disney Company,2018,"Drama, Romance","Sumedh Mudgalkar, Mallika Singh, Basant Bhatt",Swastik Productions,Siddharth Kumar Tewary,1hr,Hindi,8.2,"Radhe radhe ????, Radhe Radhe, I love you? krishna, Main bas mallika singh ko dekhakar aaya hu. I love Mallika Singh ?radha?rani?, Radhe krishna ki jai??????????????, Aaj se dekhna suru kar raha hun, Radhe Radhe, Yadav history ????, Radhe radhe ????, Kon kon ye serial ep1  2024 me dekh rha ????, Radhawow, Radhe radhe radhe ?????, Radhe radhe ??, Radhe Radhe, Gorakhpur se kalyan ka 2 din ka safar Tha ussi safar me wo mujhe mili Jesse me aaj pagal ke tarah dhudta Hu aur wo kalyan 13 December 2023 Ko utri thi time samko 6.30
minute pr aur Mai uska address nhi janta Hu lekin usse Bahut PYAR krta Hu aur usko mujhe sirf ek photo ke madad se ?????? hai mai up se Hu aur wo maharashtra se hai dukh ki baat hai ki Uska mujhe address nhi pta hau yrr ?????????????? please koi meri madad kro, Radha Radha, Hi mene aaj se hi dekhana start Kiya hai",60
5,106,Anupamaa,Star Plus,Sameer Nair,2020,Drama,"Rupali Ganguly, Sudhanshu Pandey, Madalsa Sharma, Gaurav Khanna",Kut Productions,"Rajan Shahi, Deepa Shahi",1hr 25min,Hindi,4.0,"How old is this dream???, How many episodes are there in a series?, Ilovethisshow ??, ????????, ??kon kon 2024 me dekh rha h??, ?????????, Ye kya ho rei he...jo sab kuch kurban karti he ..ushhe hi harbar insult ...nice serial..sikhneko milegi, ???????, Nice, Super ?, yeh anupama ki sasuma mujhe bilkul pasand nahi bahut irritated lagti hai??????jitna bolnu utna kam hai iske  liya ????????bahut sara nafrat inko ????????, Devika jasi friend sabko mele ????????????, Tu??, Tu??, Anupama i must say ap  yahi ghar yahi lifestyle deserve karti hai ????, May favorite drama, Sahil and vedika yaad aa Gaye ??, Ham Jaise patniyon ko koi nahin samjhega kitna hai bye bolo good bye bolo Fark Nahin Padta Hamare bye good bye Mein Koi ignore Karke Chala Jata Hai bilkul Achcha Nahin Lagta??????????, 3:18 anupama glass mai protine shake laka gaya tha 06:00 room tak jata jata vo shaker mai chal gaya ????????, Bad mein tho Samar marjayega ??????????
?How old is this dream???, How many episodes are there in a series?, Ilovethisshow ??, ????????, ??kon kon 2024 me dekh rha h??, ?????????, Ye kya ho rei he...jo sab kuch kurban karti he ..ushhe hi harbar insult ...nice serial..sikhneko milegi, ???????, Nice, Super ?, yeh anupama ki sasuma mujhe bilkul pasand nahi bahut irritated lagti hai??????jitna bolnu utna kam hai iske  liya ????????bahut sara nafrat inko ????????, Devika jasi friend sabko mele ????????????, Tu??, Tu??, Anupama i must say ap  yahi ghar yahi lifestyle deserve karti hai ????, May favorite drama, Sahil and vedika yaad aa Gaye ??, Ham Jaise patniyon ko koi nahin samjhega kitna hai bye bolo good bye bolo Fark Nahin Padta Hamare bye good bye Mein Koi ignore Karke Chala Jata Hai bilkul Achcha Nahin Lagta??????????, 3:18 anupama glass mai protine shake laka gaya tha 06:00 room tak jata jata vo shaker mai chal gaya ????????, Bad mein tho Samar marjayega ??????????
?
",85
6,107,Wagle Ki Duniya,Sony SAB,N.P. Singh ,2021,"Comedy, Drama","Bharti Achrekar, Anjan Srivastav, Sumeet Raghavan, Pariva Pranati",Hats Off Productions,"Aatish Kapadia, Jamnadas Majethia ",30min,Hindi,8.0,"Badi door se aye hai ki vasant ghotala second wife, Raju ka mobile nahi h wo sirf cover h dhyan se dekho, Phone ka cover pe baat kar raha hai rajesh??????, Bdi door se aaye h ke bad...like ??, I want season 2 of badi door se aaye hai, 8:24 is really true every parent did it...?, ????, After seeing this episode ki Rajesh mobile ka cover nahe mobile paked lijiya mall ma, In 14:25 see the cover not a mobile mistake gotet, Mm,,mmm,,,,,,,,,,!!!!,,,,,!!,,,, Naye kisse naye peedhi, Kon Kon ye 2023 main dakh Raha ha, I love wagle ki duniya?, Vasant rajesh ban gaya but acting me jhalak vasant h, Premlata are vasant from bdsah
kash premlata ki jaga varsha ko leati es show main to bahad achi hoti ??, After seeing this i remember the humanity skills ?, In the video call rajesh uncle has only hold the cover ok, It has been completed 800 nd more epi but I watching in December 2023, ? I love wagle ki duniya?????, ?",30
7,108,Ram Siya Ke Luv Kush,Sony Entertainment,N.P. Singh ,2019,Drama,"Himanshu Soni, Shivya Pathania, Navi Bhangu",Swastik Productions,Siddharth Kumar Tewary,1hr,Hindi,7.2,"??M so beyond thankful for your videos. I always look forward to every time you post ?? but I m a fan of *Hammad Khatri* . He is a hearing impaired Youtuber. No one noticed him. His channeler name *Hammad Khatri*, Jai siya ram ?",60
8,109,Mahabharat,Star Plus,Sameer Nair,2013,"Drama, History, War","Saurabh Raj, JainShaheer Sheikh, Pooja Sharma",Swastik Productions,Siddharth Kumar Tewary,20min,Hindi,9.0,"The marvel stories are based on mahavarat, Aur thanus srikrishna ke veje hue dut tha, Marvels ke superheros arjun the, To phir to thanus acha admi tha na?, Radha radha  ????, Radhe Radhe ???, Mere bhagwan. Balidan batane  aaye hai dharm ke khatir, No one can beat Nitish Bhardwaj as shree krishna, Jai shree Krishna, Like watch you in 2024, ???? great newest show for the time period. Inspiring for all. Thanks.,????, ????, Aaj se Mahabharat dekhana suru?, Makers should not have added tunes too much..nitish sir is unmatchable because you actually got to really feel it inside you when he spoke.  I don't get to have a connection with new one.Old is gold..?, ?, Mera name Arjun he may be thoda kabhi kabhi door jata hu too shree krishna ko yadd kar ta hu jai shree krishna ji",20
9,110,Tantra,Colors TV,Raj Nayak,2018,Drama,"Farida Dadi ,Juhi Parmar, Sargun Luthra",Swastik Productions,Siddharth Kumar Tewary,20min,Hindi,6.7,"Virat from Akbar Birbal, Tanks god's destiny got one hell of a human being, My favorite serial, Always take big risks If you win you will become captain And if you lose So advice car ?? ?? ?? ?? ?? ?? ?? ??????, Next video 59 chahiye, Jai sani dev, Next episode, Whatever lovely eyes are reading this comment of mine, may God give long life to him and his family ??????, Are ye to piyush hai ???? LOVE",20
10,111,Ramayan,DD National,"Shri. Mayank Kumar Agrawal, Shashi Shekhar Vempati ",1987,"Adventure, Drama, Family","Arun Govil, Deepika Chikhalia, Sunil Lahri, Arvind Trivedi",Sagar Arts,Anand Sagar,30min,Hindi,9.0,,30
11,112,Kaun Banega Crorepati?,Sony Entertainment,N.P. Singh ,2000,Game-Show,"Amitabh Bachchan, Shah Rukh Khan, Deepika Padukone, Kapil Sharma",BIG Synergy,Siddhartha Basu,1hr,Hindi,8.2,,60
12,113,Byomkesh Bakshi,DD National,"Shri. Mayank Kumar Agrawal, Shashi Shekhar Vempati ",1993,"Adventure, Crime, Mystery","Rajit Kapoor, K.K. Raina, Kartik Dutta, Sukanya Kulkarni",Doordarshan,Sharadindu Bandyopadhyay,40min,Hindi,9.2,,40
13,114,Satyamev Jayate,DD National,"Shri. Mayank Kumar Agrawal, Shashi Shekhar Vempati ",2012," Documentary, Talk-Show","Aamir Khan, Vikky Kumar, Sridevi, Aamir Naik",Aamir Khan Productions,"Aamir Khan, Satyajit Bhatkal",1hr 5min,Hindi,8.6,,65
14,115,Fauji ,DD National,"Shri. Mayank Kumar Agrawal, Shashi Shekhar Vempati ",1988,"Action, Drama","Shah Rukh Khan, Rakesh Sharma, Vikram Chopra, Vishwajeet Pradhan",New Film Addicts,Raj Kumar Kapoor,1hr,Hindi,8.1,,60
15,116,Khichdi,DD National,"Shri. Mayank Kumar Agrawal, Shashi Shekhar Vempati ",2002,Comedy,"Anang Desai, Rajeev Mehta, Supriya Pathak, Vandana Pathak",Hats Off Productions,Aatish Kapadia,20min,Hindi,8.6,,20
16,117,Shaktimaan,DD National,"Shri. Mayank Kumar Agrawal, Shashi Shekhar Vempati ",1997,"Action, Adventure, Family","Mukesh Khanna, Vaishnavi Mahant, Surendra Pal, Rajendra Gupta",Bheeshma International,Dinkar Jani,1hr,Hindi,8.2,,60
17,118,Comedy Nights with Kapil,Sony Entertainment,N.P. Singh ,2013,"Comedy, Talk-Show","Kapil Sharma, Kiku Sharda, Navjot Singh Sidhu, Ali Asgar",K9 Productions,Kapil Sharma,1hr,Hindi,8.0,,60
18,119,The Kapil Sharma Show,Sony Entertainment,N.P. Singh ,2016,"Comedy, Talk-Show","Kapil Sharma, Kiku Sharda, Sumona Chakravarti, Archana Puran Singh",K9 Productions,Salman Khan,1hr,Hindi,7.3,,60
19,120,C.I.D,Sony Entertainment,N.P. Singh ,1998,"Action, Crime, Drama","Aditya Srivastav, Shivaji Satam, Dayanand Shetty, Dinesh Phadnis",Fireworks Productions,B. P. Singh,42min,Hindi,6.9,,42
